,UCS v8.2.1 Category List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,AMUSEMENT,MACHAmus,MACH,Theme park rides such as rollercoasters and carnival rides. Carnival game machines. General ambiences to go in AMBIENCE-AMUSEMENT.,"Apparatus, Bumper, Carousel, Carrousel, Cars, Coaster, Contraption, Device, Drop, Ferris, Flume, Freefall, Funhouse, Haunted, House, Kiddy, Line, Log, Machinery, Merry-Go-Round, Nickelodeon, Park, Pinball, Ride, Roller, Rollercoaster, Scrambler, Skeeball, Theme, Thrill, Tilt-A-Whirl, Tower, Waterslide, Wheel, Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,ANTIQUE,MACHAntq,MACH,"Old mechanical sewing machines, ancient looms, olive presses, a bit ambiguous but a very old mechanical machine.","Abacus, Adding, Antique, Apparatus, Arcade, Automaton, Babbage, Butter, Cash, Churn, Classic, Contraption, Device, Edison, Enigma, Guttenberg, Hand-Cranked, Heritage, Historic, Linotype, Loom, Machine, Machinery, Mimeograph, Nostalgic, Old-Fashioned, Olive, Press, Printing, Register, Retro, Sewing, Vintage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,APPLIANCE,MACHAppl,MACH,"General appliances, refrigerator, stove, oven, vacuum cleaner... AC and fans have their own category.","Air, Apparatus, Blender, Bread, Can, Cleaner, Coffee, Conditioner, Contraption, Cooker, Dehumidifier, Device, Dishwasher, Disposal, Dryer, Electric, Fan, Food, Fridge, Garbage, Griddle, Hair, Heater, Hot, Humidifier, Ice, Iron, Kettle, Machine, Machinery, Maker, Microwave, Mixer, Opener, Oven, Plate, Processor, Refrigerator, Rice, Sewing, Slow, Stand, Toaster, Vacuum, Waffle, Washing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,CONSTRUCTION,MACHCnst,MACH,"A machine for construction that isn't a vehicle or a tool. For example a cement mixer, a woodchipper.","Apparatus, Cement, Chipper, Compactor, Concrete, Contraption, Crane, Device, Dozer, Driver, Generator, Jackhammer, Lift, Machinery, Mixer, Paver, Pile, Scissor, Steamroller, Trencher, Wood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,ELEVATOR,MACHElev,MACH,Elevator movement and doors would go here.,"Apparatus, Contraption, Device, Dumbwaiter, Dumbwaiters, Freight, Hoist, Lift, Lifts, Machinery, Passenger, Paternoster, Platform, Service, Stair, Turbolift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,ESCALATOR,MACHEscl,MACH,Escalators and moving walkways would go here.,"Apparatus, Contraption, Device, Machinery, Moving, Stairs, Travelator, Walkway, Walkways",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,FAN,MACHFan,MACH,"Fans of all types, box fans, ceiling fans. For air conditioning use MACHINES-HVAC.","Air, Apparatus, Bladeless, Blower, Box, Ceiling, Circulator, Contraption, Device, Exhaust, Industrial, Machinery, Ventilation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,GARDEN,MACHGrdn,MACH,"Powered landscaping machines, lawnmowers, weed-whackers, edgers, hedge trimmers. See also TOOLS-GARDEN and OBJECTS-GARDEN.","Apparatus, Blower, Chainsaw, Contraption, Cultivator, Device, Eater, Edger, Hedge, Irrigation, Landscaping, Lawn, Lawnmower, Leaf, Machinery, Mower, Mulcher, Pole, Pressure, Saw, Tiller, Tillers, Trimmer, Washer, Weed, Whacker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,GYM,MACHGym,MACH,"Exercise bikes, weight machines, treadmill, all things fitness. See also OBJECTS-GYM","Apparatus, Bike, Bowflex, Cardio, Climber, Contraption, Device, Elliptical, Exercise, Fitness, Machine, Machinery, Nautilus, Nordictrack, Resistance, Rower, Rowing, Stair, Stationary, Stepper, Trampoline, Treadmill, Weight, Workout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,HITECH,MACHTech,MACH,"Think cool James Bond machines, big elaborate death traps, maybe Rube Goldberg type machines. See also SCIFI-MACHINE.","3D, 7, Apparatus, Arm, Bond, CNC, Contraption, Cutter, Device, Digital, Gadget, Handheld, Holographic, James, Laser, Machinery, Plasma, Printer, Quantum, Resin, Robotic, Spy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,HVAC,MACHHvac,MACH,"Furnaces, Air Conditioners. Fans go in MACHINES-FAN. A close up gas furnace flame would go to FIRE-GAS.","Air, Aircon, Apparatus, Baseboard, Boiler, Chiller, Climate, Conditioner, Conditioning, Contraption, Control, Cooler, Dehumidifier, Device, Ductless, Evaporative, Filtration, Furnace, Handlers, Heat, Heater, Heating, Humidifier, Humidifiers, Machinery, Mini-Split, Pump, Pumps, Purifier, Radiator, Systems, Thermostat, Thermostats, Ventilation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,INDUSTRIAL,MACHInd,MACH,"Big industrial presses, factory machines, industrial robots, any heavy manufacturing machines.","Apparatus, Assembly, Auto, Automation, Contraption, Conveyor, Cutting, Device, Die, Distillery, Duty, Factory, Form, Heavy, Hydraulic, Industrial, Injection, Line, Machine, Machinery, Manufacturing, Milling, Molding, Plant, Press, Printing, Production, Punch, Reactor, Robotics, Robots, Sawmill, Shearing, Smelter, Smeltery, Stamper, System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,MECHANISM,MACHMech,MACH,"Complex mechanical smaller machines and gadgets, puzzle boxes that open portals to hell. Usually smaller devices.","7, Apparatus, Bond, Box, Contraption, Device, Gadget, Gizmo, Goldberg, James, Machinery, Puzzle, Rube, Spy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,MEDICAL,MACHMed,MACH,"Machines typically found in a hospital, medical lab or Doctor's office.","Apparatus, Blood, Cat, Centrifuge, Concentrator, Contraption, CT, Defibrillator, Dental, Device, Dialysis, Drill, ECG, EKG, Glucometers, Heart, Infusion, Insulin, Lab, Life, Machine, Machinery, Machines, Monitor, MRI, Nebulizer, Oxygen, Pacemaker, Pet, Pressure, Pump, Pumps, Scan, Support, Test, Ultrasound, Ventilator, X-Ray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,MISC,MACHMisc,MACH,Machine sounds not fitting another category in this list. See also MOTOR category.,"Apparatus, Contraption, Device, Machinery, Miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,OFFICE,MACHOffc,MACH,"Machines typically found in an office, such as printers and copy machines.","Apparatus, Binding, Business, Clock, Contraption, Copier, Copy, Cutter, Device, Dictaphone, Envelope, Facsimile, Fax, Inkjet, Interactive, Label, Laminator, Laser, Letter, Machine, Machinery, Maker, Mimeograph, Office, Opener, Paper, Photocopier, Plotter, Postal, Printer, Scale, Scanner, Shredder, Stenotype, Telefax, Time, Typewriter, Whiteboard, Xerox",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINES,PUMP,MACHPump,MACH,"Air or water pumps, fish tank aquarium pumps, sump pumps. Air compressors would fall into this category.","Aerator, Air, Apparatus, Backflow, Blower, Boilers, Centrifugal, Compressor, Contraption, Device, Fuel, Gas, Heat, Impellers, Inflators, Injector, Injects, Jet, Machinery, Piston, Plunger, Pump, Pumper, Pumping, Septic, Siphon, Sprinkler, Submersible, Sump, Syringe, Upflow, Vacuum, Valves, Water, Well, Wells",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC,ANGELIC,MAGAngl,MAG,"Angelic, Holy, Benevolent magic. The opposite of evil. Think choral tones and healing magic.","Angelic, Appearance, Aura, Beatific, Blessed, Blessedness, Blessings, Bliss, Celestial, Cherub, Creation, Divine, Ethereal, God, Guidance, Healing, Heavenly, Holy, Presence, Protection, Realm, Righteous, Sacred, Saint, Saintly, Seraph, Seraphic, Spiritual, Supernatural",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC,ELEMENTAL,MAGElem,MAG,"Magic centered around elements, fire, water, ice. Think the movie Frozen type stuff.","Air, Alchemic, Alchemical, Alchemy, Arcane, Earth, Electric, Energy, Fire, Fundamental, Natural, Nature, Planar, Primal, Primeval, Primordial, Spirits, Symbols, Transformation, Water, Wind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC,EVIL,MAGEvil,MAG,"Evil magic, ominous, dark magic. Voldemort type stuff.","Bad, Bewitched, Black, Corrupt, Cruel, Dark, Demogorgon, Demonic, Demonifuge, Demonomagy, Depraved, Devil, Devilry, Deviltry, Diablerie, Diabolical, Diabolism, Fiendish, Forbidden, Hag, Hell, Hellbroth, Immoral, Infernal, Loki, Magic, Maleficent, Malevolent, Malicious, Malignant, Necromancy, Necronomicon, Nefarious, Nightmare, Occult, Pentacle, Satan, Satanic, Sinful, Sinister, Summon, Unholy, Vile, Villainous, Voodoo, Warlock, Wicked, Witchcraft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC,MISC,MAGMisc,MAG,Magic sounds not fitting another category in this list.,"Alchemic, Alchemical, Alchemistic, Alchemy, Amulet, Artifact, Bewitchment, Ceremony, Charming, Conjurer, Conjuring, Elixir, Enchanting, Enchantments, Faerie, Fairie, Fairies, Fairylands, Fairytale, Incantational, Incantations, Magician, Magicians, Magick, Magickal, Magicks, Magique, Miracle, Miracles, Miraculous, Miscellaneous, Mystic, Mysticism, Mystique, Potion, Realm, Ritual, Sorcerous, Sorcery, Spellcraft, Spells, Symbolism, Trick, Trickery, Tricks, Wand, Wiz, Wizardly, Wizardry, Wizards, Wonder, Wondrous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC,POOF,MAGPoof,MAG,"Shorter magic phrases, often for transforming, short 'turn you into a rabbit' type stuff.","Abracadabra, Alakazam, Appearance, Bibbidi-Bobbidi-Boo, Bim, Blast, Chuff, Disappearance, Foomp, Hocus-Pocus, Open, Poof, Presto, Sala, Sesame, Shazam, Sim, Ta-Da, Transformation, Transmutation, Vanish, Voila",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC,SHIMMER,MAGShim,MAG,"Glassy or chime-like shimmers, waves of particle type magic.","Aura, Bell, Chime, Gleam, Glimmer, Glimmering, Glint, Glisten, Glitter, Glittering, Gloss, Glow, Glowing, Incandescent, Light, Luminous, Luster, Radiant, Radiate, Reflection, Scintillate, Scintillation, Sheen, Shimmering, Shine, Shiny, Sparkle, Sparkling, Tree, Twinkle, Twinkling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC,SPELL,MAGSpel,MAG,Something complex for a spell being cast. Think Maleficent swirling green magic or weird vocal-ish spells.,"Abracadabra, Banishing, Bewitch, Cast, Charm, Conjuration, Conjure, Conjured, Conjuring, Curse, Divination, Enchant, Enchanting, Enchantment, Enchantments, Evocation, Exorcism, Healing, Hex, Illusion, Illusionary, Illusionism, Illusionistic, Illusions, Incantation, Incantational, Incantations, Incantatory, Invocation, Invocations, Mesmerize, Prestidigitation, Protection, Rune, Sorcerer, Sorceries, Sorcerous, Sorcery, Spellacy, Spellbind, Spellbinding, Spellcheck, Spelled, Spelling, Spellings, Spells, Spellwork, Summoned, Summoning, Summons, Supernaturally, Trance, Voodoo, Warding, Witch, Wizard, Wizardly, Wizardry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL,CLICK,MECHClik,MECH,"Short clicks, could be from button presses, things like that. Some confusion and overlap with MECHANICAL-SWITCH.","Button, Clack, Click, Clicker, Snap, Tick, Toggle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL,GEARS,MECHGear,MECH,"A toothed cog, turning or grinding gears, complex gear mechanisms. Small clock gears would go in CLOCKS-MECHANICS.","Axle, Bevel, Cam, Chain, Cluster, Cog, Cogs, Cogwheels, Coupling, Crown, Derailleur, Differential, Drive, Flywheel, Flywheels, Gear, Gearbox, Geared, Gearing, Geartrain, Helical, Herringbone, Hypoid, Idler, Mesh, Meshing, Pinion, Pinions, Planetary, Rack, Reducer, Shaft, Shifter, Silent, Spiral, Sprocket, Sprockets, Spur, Straight-Cut, Synchromesh, Tooth, Transmission, Wheels, Worm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL,HYDRAULIC & PNEUMATIC,MECHHydr,MECH,"Various hydraulic or pneumatic sounds, like on a self-closing door. Isolated hydraulics and pneumatics. See also DOORS-HYDRAULIC & PNEUMATIC for a complete door.","Actuator, Brake, Clutch, Compressor, Conveyor, Cylinder, Damper, Hydraulic, Jack, Pneumatic, Press, Pressurized, Ram, System, Valve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL,LATCH,MECHLtch,MECH,"Latch, as in a briefcase latch, or a luggage latch.","Barrel, Bolt, Cabinet, Cam, Catch, Clasp, Deadlatch, Drawer, Fastener, Gate, Hardware, Hasp, Hook, Interlock, Latch, Lock, Magnetic, Night, Safety, Slam, Slide, Spring, Thumb, Toggle, Toolbox, Window",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL,LEVER,MECHLvr,MECH,"A sliding or switching lever. Train track lever, lever to turn on an electric chair. Old Frankenstein machine levers, breaker levers.","Brake, Cam, Clank, Clunk, Control, Joystick, Lever, Locking, Pedal, Push-Pull, Quick-Release, Rocker, Switch, Trigger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL,LOCK,MECHLock,MECH,"A padlock, bicycle lock, or a locking mechanism. Door locks to go into DOORS-HARDWARE.","Biometric, Bolt, Cam, Catch, Clasp, Combination, Cylinder, Deadbolt, Electronic, Fastener, Hasp, Keyless, Latch, Lock, Mortise, Padlock, Pin, Security, Tumbler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL,MISC,MECHMisc,MECH,Mechanical sounds not fitting another category in this list.,Miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL,PULLEY,MECHPuly,MECH,"An isolated recording of a pulley, or system of pulleys.","And, Belt, Block, Chain, Chirp, Hoist, Pulley, Pulley-Block, Roll, Rope, Sheave, Squeak, Tackle, Winch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL,RATCHET,MECHRtch,MECH,That sound a ratchet makes.,"Click, Crank, Detent, Pawl, Ratchet, Snap, Socket, Strap, Tie-Down, Winch, Wind, Wrench",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL,RELAY,MECHRelay,MECH,Old train station counting board flipping. A old communications relay board.,"Arc, Breaker, Clack, Coil, Contact, Control, Electromagnetic, Flip, Lamp, Solenoid, Switch, Toggle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL,ROLLER,MECHRolr,MECH,"Like a rolling conveyor belt, or something on a roller.","Bearing, Belt, Dynamo, Line, Roll, Shaft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL,SWITCH,MECHSwtch,MECH,"Basic and heavy switches, light switches, power switches. Some overlap or confusion with MECHANICAL-CLICK.","Button, Circuit, Clack, Click, Dimmer, Light, Limit, Micro, Push-Button, Rocker, Rotary, Safety, Selector, Slide, Switch, Switchgear, Toggle, Wall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METAL,BREAK,METLBrk,METL,"Metal breaking, snaps, cracks, rips, shatters.","Aluminum, Apart, Beryllium, Brass, Break, Bronze, Burst, Bust, Cadmium, Chip, Chromium, Cleave, Cobalt, Copper, Crack, Crumble, Crunch, Crush, Demolish, Destroy, Disintegrate, Fracture, Fragment, Gallium, Gold, Indium, Iron, Lead, Lithium, Magnesium, Manganese, Mercury, Molybdenum, Nickel, Niobium, Palladium, Platinum, Rend, Rhenium, Rip, Rupture, Separate, Shatter, Silver, Smash, Snap, Splinter, Split, Steel, Tin, Titanium, Tungsten, Vanadium., Zinc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METAL,CRASH & DEBRIS,METLCrsh,METL,"Metal crashing and debris. Complex metal crashes, group metal crashes, metal debris falls.","Aluminum, Beryllium, Brass, Bronze, Cadmium, Chromium, Clang, Clatter, Cobalt, Collision, Copper, Crash, Debris, Fall, Fragments, Gallium, Gold, Indium, Iron, Lead, Lithium, Magnesium, Manganese, Mercury, Molybdenum, Nickel, Niobium, Palladium, Platinum, Remains, Rhenium, Rubble, Ruins, Shards, Shrapnel, Silver, Smash, Steel, Tin, Titanium, Tungsten, Vanadium., Wreckage, Zinc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METAL,FRICTION,METLFric,METL,"Metal friction, stress, so scrapes, creaks, squeaks, squeals, screeches. Metal sounds caused by friction.","Abrade, Abrasion, Aluminum, Beryllium, Brass, Bronze, Cadmium, Chafe, Chromium, Cobalt, Copper, Creak, Gallium, Gnash, Gold, Grind, Grinding, Indium, Iron, Lead, Lithium, Magnesium, Manganese, Mercury, Molybdenum, Nickel, Niobium, Palladium, Platinum, Rasp, Rasping, Rhenium, Rub, Rubbing, Scour, Scrape, Scraping, Scratching, Screech, Scuffing, Silver, Sliding, Squeak, Steel, Stress, Tin, Titanium, Tungsten, Vanadium., Wear, Zinc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METAL,HANDLE,METLHndl,METL,"Metal handling, handling metal objects. Some overlap with METAL-MOVEMENT possible.","Aluminum, Beryllium, Brass, Bronze, Cadmium, Catch, Chromium, Clasp, Clench, Clutch, Cobalt, Copper, Down, Embrace, Gallium, Gold, Grab, Grasp, Grip, Handle, Handlebar, Hold, Indium, Iron, Knob, Latch, Lead, Lever, Lithium, Magnesium, Manganese, Mercury, Molybdenum, Nickel, Niobium, Operate, Palladium, Palm, Pickup, Platinum, Pull, Rhenium, Seize, Set, Silver, Steel, Take, Throw, Tin, Titanium, Toss, Tungsten, Use, Vanadium., Zinc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METAL,IMPACT,METLImpt,METL,"Metal single item impacts, so anvil hits, dropping something that doesn't break. Clangs, clunks, bangs.","Aluminum, Bang, Banging, Bash, Beryllium, Brass, Bronze, Bump, Cadmium, Chromium, Clang, Clap, Clunk, Cobalt, Collide, Colliding, Copper, Crash, Crashing, Drop, Dropped, Gallium, Gold, Hit, Hitting, Impact, Impacting, Indium, Iron, Jolt, Knock, Lead, Lithium, Magnesium, Manganese, Mercury, Molybdenum, Nickel, Niobium, Palladium, Platinum, Pound, Ram, Rhenium, Ring, Silver, Slam, Slamming, Smack, Smacking, Smash, Steel, Strike, Striking, Thrust, Thump, Tin, Titanium, Tungsten, Vanadium., Zinc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METAL,MISC,METLMisc,METL,Metal sounds not fitting another category in this list.,"Aluminum, Beryllium, Brass, Bronze, Cadmium, Chromium, Cobalt, Copper, Gallium, Gold, Indium, Iron, Lead, Lithium, Magnesium, Manganese, Mercury, Miscellaneous, Molybdenum, Nickel, Niobium, Palladium, Platinum, Rhenium, Silver, Steel, Tin, Titanium, Tungsten, Vanadium., Zinc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METAL,MOVEMENT,METLMvmt,METL,"Metal movement, so drag, roll, rattle, shake. Single or metal items moving. Or movement on a metal surface. See also METAL-HANDLE.","Aluminum, Beryllium, Brass, Bronze, Cadmium, Chattering, Chromium, Clatter, Cobalt, Copper, Drag, Gallium, Glide, Gold, Indium, Iron, Jangle, Lead, Lithium, Magnesium, Manganese, Mercury, Molybdenum, Nickel, Niobium, Palladium, Platinum, Rattle, Rattling, Rhenium, Roll, Rolling, Scuffle, Shake, Shaking, Shift, Shuffle, Silver, Slide, Slip, Steel, Sway, Swing, Tin, Titanium, Tungsten, Vanadium., Vibrating, Wobble, Zinc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METAL,TONAL,METLTonl,METL,"Metal tonal, resonating, ringing, wronks and warps. Bending sheet metal, a singing bowl ringing, metal shinging.","Aluminum, Beryllium, Bowed, Brass, Bronze, Cadmium, Chromium, Cobalt, Copper, Frequency, Gallium, Gold, Harmonic, Indium, Iron, Lead, Lithium, Magnesium, Manganese, Melodic, Melodious, Mercury, Molybdenum, Musical, Nickel, Niobium, Palladium, Ping, Pitch, Platinum, Resonance, Resonant, Rhenium, Ring, Shing, Silver, Sonorous, Sound, Steel, Timbre, Tin, Titanium, Tonal, Tone, Tungsten, Vanadium., Zinc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTORS,ANTIQUE,MOTRAntq,MOTR,"Old motors, usually combustion, so old oil pump engines, old compressors. An antique gas pump for example.","Aged, Ancient, Antiquated, Bygone, Classic, Engine, Historic, Kerosene, Old-Fashioned, Paraffin, Retro, Steam, Traditional, Vintage, Windmill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTORS,COMBUSTION,MOTRComb,MOTR,"Non-vehicle combustion engines. Combustion motors, generators. Isolated engine recordings.","Backfire, Carburation, Carburetor, Combustion, Combustor, Compression, Diesel, Engine, Ethanol, Four-Stroke, Gas, Gasoline, Generator, Internal, Manifold, Mechanic, Misfire, Motor, Outboard, Petrol, Rotary, Turboshaft, Two-Stroke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTORS,ELECTRIC,MOTRElec,MOTR,Non-vehicle electric motors. Any motor that runs on electricity. An isolated electric motor. See also TOOLS-POWER.,"AC, DC, Dentist, Disposal, Drill, Dynamotor, Engine, Garbage, Magneto, Motor, Razor, Stepper, Toothbrush, Volt, Watt, Wheelchair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTORS,MISC,MOTRMisc,MOTR,Motor sounds not fitting another category in this list.,"Engine, Miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTORS,SERVO,MOTRSrvo,MOTR,"Specifically servo motors, from robot, to radio controlled servos. Clean isolated servos.","3D, Actuator, Antenna, Camera, Car, Drive, Focus, Motor, Printer, RC, Robot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTORS,TURBINE,MOTRTurb,MOTR,"Turbines, water or air. That classic 'whine' power up and down are usually turbines. A jet engine is a turbine.","Aircraft, Airplane, Engine, Generator, Hydro, Steam, Turbomachinery, Wind, Windmill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOVEMENT,ACTIVITY,MOVEActv,MOVE,"Crowds moving but also performing activities, cleaning, moving boxes. Clean recordings with no vocals. See MOVEMENT-HUMAN for Single activity.","Activity, Cleaning, Moving, Shopping, Unpacking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOVEMENT,ANIMAL,MOVEAnml,MOVE,"Group animal movement, individual feet go to FOOTSTEPS-ANIMAL or FOOTSTEPS-HORSE. But think herds of grazing animals, stampedes.","Charge, Flock, Herd, Migrate, Migration, Pack, Scramble, Stampede, Swarm, Trample",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOVEMENT,CREATURE,MOVECrea,MOVE,"Slithering Dragons, Gooey Zombie Movement.","Burrowing, Coil, Contort, Crawl, Crawling, Digging, Lunge, Slide, Slither, Squirm, Wriggle, Writhe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOVEMENT,CROWD,MOVECrwd,MOVE,Groups of people milling or walking. Usually mostly just recordings of group footsteps in real locations. No vocals. Compare to MOVEMENT-ACTIVITY.,"Amble, Jump, Lie, March, Mill, Mobilize, Mobilizing, Moves, Pilgrimage, Rout, Run, Scuffle, Shuffle, Sit, Skip, Slip, Stand, Swarm, Trek, Troop, Walk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOVEMENT,HUMAN,MOVEHmn,MOVE,"Movement of single human, aside from footsteps, standing, sitting, shuffe. Some overlap or confusion with FOOTSTEP-HUMAN or MOVEMENT-ACTIVITY.","Activity, Climb, Crawl, Dance, Exercise, Lie, Mill, Perform, Physical, Scuffle, Shuffle, Sit, Slip, Stand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOVEMENT,INSECT,MOVEInsc,MOVE,"Group insects, footsteps, movement, swarms, spiders, locusts. Swarms of flying insects here too, bees, flies. Overlap with ANIMALS-INSECT or AMBIENCE-INSECT.","Ants, Beehive, Centipede, Crawl, Crawling, Earwig, Hive, Maggot, Maggots, Midge, Millipede, Mite, Pupa, Roach, Skittering, Slither, Spider, Squirm, Swarm, Tsetse, Writhe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
